name,property_id,team_id
 *Easton Park Garage,1723159b-bdc6-48d8-8cde-1f15f9e2ad23,5c7aff2f-1a49-4dd3-a1fa-a7622f260133
 *Easton Park Garage,,5c7aff2f-1a49-4dd3-a1fa-a7622f260133
 1043 Nolan Ln,,701addba-6c35-4e98-bb74-267194c36789
 2055 Jamie Dr,,701addba-6c35-4e98-bb74-267194c36789
 2317 Belin Dr,,701addba-6c35-4e98-bb74-267194c36789
 2716 Arbor Ln Dr,,701addba-6c35-4e98-bb74-267194c36789
 2738 Arbor Lane Dr.,,701addba-6c35-4e98-bb74-267194c36789
 3131 Faxon Avenue,7446f38e-0a46-438c-9f03-7ee62c8f3a8d,701addba-6c35-4e98-bb74-267194c36789
 3490 Ardmore,3e32d4a2-b7d3-4141-95ac-71cc7e7cc543,701addba-6c35-4e98-bb74-267194c36789
 3878 Sybil St.,37494d3f-fcd8-42d4-a22b-1e81d84b7c94,701addba-6c35-4e98-bb74-267194c36789
 3878 Sybil St.,,701addba-6c35-4e98-bb74-267194c36789
 4145 Print Ave,39d02dce-7c4d-4aa3-b93f-139c7c90a135,701addba-6c35-4e98-bb74-267194c36789
 7009 Crestridge Rd,a6402c25-9fb2-42d0-a24d-90bf081c1611,701addba-6c35-4e98-bb74-267194c36789
 722 Loeb St.,5fa84fe2-7dbb-481a-9a8f-94f1f06fe295,701addba-6c35-4e98-bb74-267194c36789
 7944 Anne's Cir,afd79a83-6239-4470-9082-220c95ff8c3f,701addba-6c35-4e98-bb74-267194c36789
 919 Stratford Rd,96706e95-eb94-443e-bc22-15ab71d290b8,701addba-6c35-4e98-bb74-267194c36789
 Easton Park 18-101 *FOR SALE,,5c7aff2f-1a49-4dd3-a1fa-a7622f260133
 Easton Park 18-101 *FOR SALE,2703fe92-9cfb-417b-ac34-e2805b01609c,5c7aff2f-1a49-4dd3-a1fa-a7622f260133
"""Charming 3-Bedroom Home Near the Old Mill""",,2602ea94-7587-4182-8a51-4bfaa4495581
"""Charming 3-Bedroom Home Near the Old Mill""",168f41a9-5dac-411f-b23b-e3d19f175cc6,2602ea94-7587-4182-8a51-4bfaa4495581
"""Cozy 2-Bedroom Dwelling in Bend – 1075 Sq...",6291c42d-a0ee-475e-a84b-e34a882258a7,2602ea94-7587-4182-8a51-4bfaa4495581
"0 E Ledbetter Dr #2603, Dallas, TX, 75216",,22b1e70c-7d93-4b79-862a-dd6c09db3744
"0 E Ledbetter Dr #2603, Dallas, TX, 75216",b0d0046f-fcf2-4649-b095-dbf67bd9005d,22b1e70c-7d93-4b79-862a-dd6c09db3744
"1 Bed, 1 Bath",344a8dc0-fdfa-4292-9e95-1bed36963d5c,a47a5a72-b1e8-41f0-b918-ff11524c1310
"1 Bed, 1 Bath",,a47a5a72-b1e8-41f0-b918-ff11524c1310
"1 Bed, 1 Bath",8724602c-403c-46d7-bbaf-fef0a04c2259,a47a5a72-b1e8-41f0-b918-ff11524c1310
"1-144-2600 Arroyo Ave, Dallas, TX, 75219",3a4f7348-3a3c-4837-8a7e-b4f324f70271,f1afa0a4-b6db-4ccc-9e1b-c406aa1a6003
1-147-2600 Arroyo Ave,,f1afa0a4-b6db-4ccc-9e1b-c406aa1a6003
1-228-2600 Arroyo Ave,,f1afa0a4-b6db-4ccc-9e1b-c406aa1a6003
"1-228-2600 Arroyo Ave, Dallas, TX, 75219",3a4f7348-3a3c-4837-8a7e-b4f324f70271,f1afa0a4-b6db-4ccc-9e1b-c406aa1a6003
"1-230-2600 Arroyo Ave, Dallas, TX, 75219",3a4f7348-3a3c-4837-8a7e-b4f324f70271,f1afa0a4-b6db-4ccc-9e1b-c406aa1a6003
100 E 630 N,d8af8368-cd2c-463c-b33e-15ed0c4b5594,5c7aff2f-1a49-4dd3-a1fa-a7622f260133
100 E 630 N,d419c547-0f4a-4fb5-89ab-b28226222193,5c7aff2f-1a49-4dd3-a1fa-a7622f260133
100 E 630 N,e123760d-cd1a-489f-a866-5e42bfebcc24,5c7aff2f-1a49-4dd3-a1fa-a7622f260133
100 E 630 N,,5c7aff2f-1a49-4dd3-a1fa-a7622f260133
100 E 630 N,95d70725-0aa8-4290-93de-1f2f5765ee63,5c7aff2f-1a49-4dd3-a1fa-a7622f260133
100 E 630 N,4b82d9ce-7864-4c88-a4ab-c3f25bd60648,5c7aff2f-1a49-4dd3-a1fa-a7622f260133
100 E 630 N,19886ffd-5af5-4a6e-a856-0ff9c204d059,5c7aff2f-1a49-4dd3-a1fa-a7622f260133
100 E 630 N,60205c8a-9867-4d04-9d3e-cc664557c97c,5c7aff2f-1a49-4dd3-a1fa-a7622f260133
100 E 630 N,e857f364-2c5b-4af2-9602-5c45286ace0a,5c7aff2f-1a49-4dd3-a1fa-a7622f260133
100 E 630 N,cae2bbe7-0828-4bf7-88b6-a6321113bbc2,5c7aff2f-1a49-4dd3-a1fa-a7622f260133
100 E 630 N,0ecc0e3c-e515-424e-8ec2-cf369222713d,5c7aff2f-1a49-4dd3-a1fa-a7622f260133
10011 Everton Pl,04f0fee5-a2b4-48bc-9743-e6a2da086795,685e0d3a-257a-49d4-ba42-cd4ffedb219e
10015 Alondra Blvd,,a8980a28-d78f-447f-bba4-1715e30c8615
10015 Alondra Blvd ,,a8980a28-d78f-447f-bba4-1715e30c8615
